trip,category,model,horizon_sec,n_episodes,mean_dist_m,drift_m,drift_pct,episode_pass_rate_pct,is_trip_pass
Vtb12,Dense Urban,Pure_Kinematics,10,1,96.0,40.92,42.63,0.0,0
Vtb12,Dense Urban,Pure_Kinematics,20,1,198.93,22.99,11.56,0.0,0
Vtb12,Dense Urban,Pure_Kinematics,30,1,300.51,50.75,16.89,0.0,0
Vtb12,Dense Urban,Static_TCN,10,1,96.0,6.56,6.83,100.0,1
Vtb12,Dense Urban,Static_TCN,20,1,198.93,4.97,2.5,100.0,1
Vtb12,Dense Urban,Static_TCN,30,1,300.51,6.85,2.28,100.0,1
Vw12,Mountain,Adaptive_Regime_Fusion,10,2,264.19,19.45,7.43,50.0,1
Vw12,Mountain,Adaptive_Regime_Fusion,20,2,525.75,36.2,6.88,100.0,1
Vw12,Mountain,Adaptive_Regime_Fusion,30,2,778.07,47.59,6.1,100.0,1
Vw12,Mountain,Adaptive_Regime_Fusion,60,2,1500.2,45.3,3.01,100.0,1
Vw12,Mountain,Fixed_Damped_Momentum,10,2,264.19,8.5,3.26,100.0,1
Vw12,Mountain,Fixed_Damped_Momentum,20,2,525.75,13.89,2.65,100.0,1
Vw12,Mountain,Fixed_Damped_Momentum,30,2,778.07,13.54,1.72,100.0,1
Vw12,Mountain,Fixed_Damped_Momentum,60,2,1500.2,26.52,1.78,100.0,1
Vw12,Mountain,Pure_Kinematics,10,2,264.19,16.03,6.02,100.0,1
Vw12,Mountain,Pure_Kinematics,20,2,525.75,62.75,11.93,50.0,0
Vw12,Mountain,Pure_Kinematics,30,2,778.07,147.44,19.07,0.0,0
Vw12,Mountain,Pure_Kinematics,60,2,1500.2,650.32,43.4,0.0,0
Vw12,Mountain,Static_TCN,10,2,264.19,29.07,11.06,50.0,0
Vw12,Mountain,Static_TCN,20,2,525.75,52.27,9.95,50.0,1
Vw12,Mountain,Static_TCN,30,2,778.07,74.53,9.56,50.0,1
Vw12,Mountain,Static_TCN,60,2,1500.2,100.25,6.68,100.0,1
Vw13,Mountain,Adaptive_Regime_Fusion,10,1,271.11,16.55,6.1,100.0,1
Vw13,Mountain,Fixed_Damped_Momentum,10,1,271.11,11.6,4.28,100.0,1
Vw13,Mountain,Pure_Kinematics,10,1,271.11,22.88,8.44,100.0,1
Vw13,Mountain,Static_TCN,10,1,271.11,24.81,9.15,100.0,1
Vw14a,Mountain,Adaptive_Regime_Fusion,10,17,248.5,15.33,6.07,70.6,1
Vw14a,Mountain,Adaptive_Regime_Fusion,20,17,497.15,38.25,7.62,64.7,1
Vw14a,Mountain,Adaptive_Regime_Fusion,30,17,748.17,58.67,7.75,52.9,1
Vw14a,Mountain,Adaptive_Regime_Fusion,60,17,1511.05,130.38,8.54,58.8,1
Vw14a,Mountain,Fixed_Damped_Momentum,10,17,248.5,15.42,6.18,76.5,1
Vw14a,Mountain,Fixed_Damped_Momentum,20,17,497.15,49.21,9.95,58.8,1
Vw14a,Mountain,Fixed_Damped_Momentum,30,17,748.17,78.79,10.56,47.1,0
Vw14a,Mountain,Fixed_Damped_Momentum,60,17,1511.05,182.62,12.09,41.2,0
Vw14a,Mountain,Pure_Kinematics,10,17,248.5,10.89,4.43,94.1,1
Vw14a,Mountain,Pure_Kinematics,20,17,497.15,38.67,8.11,76.5,1
Vw14a,Mountain,Pure_Kinematics,30,17,748.17,83.2,11.46,52.9,0
Vw14a,Mountain,Pure_Kinematics,60,17,1511.05,312.63,21.06,17.6,0
Vw14a,Mountain,Static_TCN,10,17,248.5,15.57,6.09,76.5,1
Vw14a,Mountain,Static_TCN,20,17,497.15,31.78,6.3,82.4,1
Vw14a,Mountain,Static_TCN,30,17,748.17,49.62,6.53,82.4,1
Vw14a,Mountain,Static_TCN,60,17,1511.05,106.28,6.93,94.1,1
Vw14b,Mountain,Adaptive_Regime_Fusion,10,126,212.77,20.28,10.91,60.3,0
