trip,category,model,horizon_sec,n_episodes,mean_dist_m,drift_m,drift_pct,episode_pass_rate_pct,is_trip_pass
Vta24,Suburban,BiasCorr_Kinematics,10,4,53.0,12.18,31.48,50.0,0
Vta24,Suburban,BiasCorr_Kinematics,20,4,100.25,43.63,65.15,0.0,0
Vta24,Suburban,BiasCorr_Kinematics,30,4,169.13,97.87,87.39,25.0,0
Vta24,Suburban,BiasCorr_Kinematics,60,4,384.79,559.91,146.08,0.0,0
Vta24,Suburban,Damped_Momentum,10,4,53.0,2.96,21.44,75.0,0
Vta24,Suburban,Damped_Momentum,20,4,100.25,27.42,50.23,0.0,0
Vta24,Suburban,Damped_Momentum,30,4,169.13,53.82,51.46,0.0,0
Vta24,Suburban,Damped_Momentum,60,4,384.79,150.84,38.29,25.0,0
Vta24,Suburban,Pure_Kinematics,10,4,53.0,27.97,60.11,25.0,0
Vta24,Suburban,Pure_Kinematics,20,4,100.25,69.19,135.84,25.0,0
Vta24,Suburban,Pure_Kinematics,30,4,169.13,138.18,90.96,0.0,0
Vta24,Suburban,Pure_Kinematics,60,4,384.79,293.56,73.42,0.0,0
Vta24,Suburban,Static_TCN,10,4,53.0,10.54,16.4,50.0,0
Vta24,Suburban,Static_TCN,20,4,100.25,19.02,23.57,25.0,0
Vta24,Suburban,Static_TCN,30,4,169.13,25.02,32.27,50.0,0
Vta24,Suburban,Static_TCN,60,4,384.79,46.86,12.8,25.0,0
Vta25,Suburban,BiasCorr_Kinematics,10,1,93.48,92.99,99.48,0.0,0
Vta25,Suburban,BiasCorr_Kinematics,20,1,96.13,95.64,99.49,0.0,0
Vta25,Suburban,BiasCorr_Kinematics,30,1,96.39,95.9,99.49,0.0,0
Vta25,Suburban,BiasCorr_Kinematics,60,1,127.42,126.93,99.62,0.0,0
Vta25,Suburban,Damped_Momentum,10,1,93.48,91.08,97.43,0.0,0
Vta25,Suburban,Damped_Momentum,20,1,96.13,92.41,96.13,0.0,0
Vta25,Suburban,Damped_Momentum,30,1,96.39,92.45,95.92,0.0,0
Vta25,Suburban,Damped_Momentum,60,1,127.42,123.1,96.61,0.0,0
Vta25,Suburban,Pure_Kinematics,10,1,93.48,63.71,68.15,0.0,0
Vta25,Suburban,Pure_Kinematics,20,1,96.13,16.39,17.05,0.0,0
Vta25,Suburban,Pure_Kinematics,30,1,96.39,17.87,18.54,0.0,0
Vta25,Suburban,Pure_Kinematics,60,1,127.42,63.7,49.99,0.0,0
Vta25,Suburban,Static_TCN,10,1,93.48,35.21,37.66,0.0,0
Vta25,Suburban,Static_TCN,20,1,96.13,120.52,125.37,0.0,0
