step,time_s,ax,ay,az,gx,gy,gz,mx,my,mz,ml_speed,gnss_valid,ref_pos_e,ref_pos_n,ref_pos_u,ref_vel_e,ref_vel_n,ref_vel_u,ref_heading,nav_state
34,3.4000000000000004,0.38591425309342303,2.666986336262783,9.891908946783072,0.16179666131743278,0.41332494784160817,0.03414407530251437,-27.06,-37.06,0.69,5.52530607175182,1,22.92259957102613,7.242448885027775,0.01486759797424797,3.07670903902603,1.9397500306845417,-0.0012246373148734647,60.24203674565013,GNSS_LOCKED
35,3.5,-0.11943642001279706,3.137563337607119,9.851476373319798,0.20403138181898423,0.5060494358989422,-0.020535424500072997,-26.37,-37.25,0.0,6.3897584488506105,1,23.2036432327517,7.4204930676219325,0.01566369621255592,2.86968793913141,1.945967613997799,-0.001146358243232096,59.588633425348235,GNSS_LOCKED
36,3.6,-1.3094655600711687,2.6722557870591133,9.79427262156392,0.2380148284069581,0.554908468725854,-0.00683979493363514,-25.44,-37.5,0.19,6.380037416016608,1,23.462854549923232,7.599468658042143,0.01606749774613244,2.6310436274423568,1.8996680292877226,0.006419303204968058,58.75989657594683,GNSS_LOCKED
37,3.7,-0.9684495773073052,2.018496148403963,9.598132329005038,0.11774856489263784,0.5540326359049056,-0.10554905882094126,-23.62,-37.69,-1.81,8.369259886243688,1,23.69864135668683,7.772896693920783,0.017049658752453765,2.446686625433551,1.8202199515576236,-0.004722045554032609,58.632809567128994,GNSS_LOCKED
38,3.8000000000000003,-1.4048762001574242,-2.0186018978827622,9.913737885888215,0.0988037116433777,0.4885696092137074,-0.11494026064985888,-23.56,-37.37,-3.0,7.814965085389,1,23.91588015445933,7.945121957652245,0.01632647119131722,2.351724965312363,1.6266355514706021,-0.014732500769527564,59.53815339305511,GNSS_LOCKED
39,3.9000000000000004,-1.1745865039123233,-1.6704752285297093,10.215548037951544,0.05616034633860166,0.48185802384638454,-0.017197393813753837,-22.37,-36.94,-4.5,7.533611126489729,1,24.119352323279216,8.104978100826083,0.01445802646667007,2.2248199021734245,1.5294483552656686,-0.0024933901228877233,60.21795362001345,GNSS_LOCKED
40,4.0,-0.4763307491413944,0.09057955187643825,10.583331753384861,0.10722065048364351,0.5703728009722808,0.06326246929182663,-21.37,-37.06,-4.56,7.565622083544001,1,24.301148509450147,8.254402685017759,0.012823694551980973,2.0158089607116247,1.5253963685127612,0.026629175325996582,60.30749771006988,GNSS_LOCKED
41,4.1000000000000005,-0.14409299874623255,-0.0025585254851223827,9.967734827013592,0.07981975844473907,0.5337729431894666,0.03456575300319751,-20.69,-37.19,-5.12,7.839039725625237,1,24.47164652142898,8.397328883290191,0.013713420985542643,1.917382161524193,1.4722716297175458,-0.0014335036713406697,60.50275947602583,GNSS_LOCKED
42,4.2,-0.11773272956392028,0.35893803187803275,9.944227695686626,0.18285701286474734,0.5505990163990065,0.036648410424301704,-19.94,-36.75,-5.06,7.839039725625237,1,24.634476203563075,8.538463674398258,0.01370536451990773,1.842874404541767,1.4736391589311597,-0.022128724381761746,60.30393766245758,GNSS_LOCKED
43,4.3,-0.3624732237279097,0.33757822154287026,9.768284355321576,0.16676597431657528,0.5190840410159303,0.01452749712838791,-18.56,-37.44,-5.25,7.711828402882341,1,24.78988832825493,8.676706087451361,0.013368497576141898,1.768092663360069,1.4390938023256297,-0.04506426377075994,60.284584717919685,GNSS_LOCKED
44,4.4,-0.28634989915035564,0.03380011706852253,9.90338303295105,0.17888058875499885,0.5045013122298415,0.0017666140022198952,-17.87,-37.94,-5.12,7.616007325596935,1,24.93313766233335,8.808485960524253,0.01222710618729447,1.669395346212299,1.3642513731011277,-0.05758352910464114,60.50772624091744,GNSS_LOCKED
45,4.5,-1.0179361772172444,0.659056400589664,9.95120821106433,0.12103393560583445,0.533256875522335,-0.022492246217742463,-16.81,-37.31,-4.87,7.758362746458441,1,25.065925851627206,8.93900974977814,0.010199067217632533,1.5330478339891154,1.35992539189012,-0.04634816838325191,60.48189456257579,GNSS_LOCKED
46,4.6000000000000005,-1.1269248965690377,1.0347901431362612,10.311332222713071,0.14442514127569403,0.4829076508150196,0.06824477527118773,-16.69,-36.19,-5.44,7.603639245468377,1,25.19390100889478,9.065277099971022,0.00831278004039107,1.4857161106805794,1.3388096097153335,-0.017696493936139847,60.03575310258367,GNSS_LOCKED
47,4.7,-0.9218554151715698,1.534935557408255,10.386409532081945,0.169426459293788,0.5430632148901032,0.08094053078894443,-16.25,-36.69,-4.62,7.169446197199353,1,25.318391852401483,9.190335937310085,0.007454978435029836,1.4588407840376767,1.3527864922241282,0.0012828160280608444,59.269684093039125,GNSS_LOCKED
48,4.800000000000001,-0.8749903709153055,0.6103928398267263,9.924037743373097,0.07915305957858856,0.5264757694313954,-0.04616879206746226,-15.5,-36.94,-4.25,5.594813009323525,1,25.440176440374906,9.313700627689899,0.008274745270515887,1.4524824545940707,1.291986328792903,-0.027903577508167896,59.46272443655734,GNSS_LOCKED
49,4.9,-0.4810071867344021,0.7884295972806151,10.326218577797091,0.0911171420509859,0.4880658534431102,-0.007025605120478122,-13.62,-37.19,-4.94,5.18082868012787,1,25.56022016192061,9.44197677183455,0.0077185054992173156,1.4681913807647744,1.35807534608301,-0.03598648775111676,59.05390191235736,GNSS_LOCKED
50,5.0,-1.568379042509116,3.676120085229271,10.280502463789993,0.03880646303699528,0.443103429175113,0.06107478595798675,-13.5,-36.56,-4.37,6.6027191234984475,1,25.683449538777822,9.569111594283028,0.0060511935487751155,1.3948605045274314,1.4613141702715127,0.012832106711730398,58.175184070940745,GNSS_LOCKED
51,5.1000000000000005,1.1621977214978074,-1.2822028239298908,10.008566967076332,0.12205806799411861,0.38212556427958694,0.09956465819531748,-13.37,-37.31,-3.81,8.354019804148344,1,25.791033685671255,9.697353172575273,0.009467823284196115,1.449456200424018,1.3130413958337546,-0.09822787225858738,57.9965573960454,GNSS_LOCKED
52,5.2,-1.1939337881681231,3.8312857848820587,9.930507139317266,0.050500005986529053,0.3739963737795666,0.014586013680755175,-12.06,-37.44,-3.06,8.304790906254436,1,25.90910180695865,9.825594299970179,0.006637868508322864,1.3498528745657161,1.4798445374304041,-0.05219871621246284,57.342164640817664,GNSS_LOCKED
53,5.300000000000001,-1.005121981535293,1.6475281202015173,10.194571778421093,0.1441031852258918,0.36694849833208665,0.028675452561013726,-11.25,-36.81,-3.19,8.389983729056635,1,26.02697164726105,9.978217902335599,0.00565617771996421,1.411395766030822,1.620907797494791,-0.04556629152333227,56.459541721095874,GNSS_LOCKED
54,5.4,0.1603476582596201,0.9417160286637712,10.097443048606335,0.1930616513487827,0.29138032512252293,-0.018259926340867223,-11.5,-37.31,-3.19,9.089941610412051,1,26.14692680890257,10.145568274916997,0.006387582448155125,1.4955642153336843,1.762849965785768,-0.08779696348271913,55.961187372608094,GNSS_LOCKED
55,5.5,0.28667588583140863,0.8694482127201948,9.97277532344334,-0.08820910411673705,0.24167732462016808,-0.0037195047197890155,-10.87,-36.19,-2.87,8.57221942843884,1,26.279936568601364,10.344549236654412,0.005907502683105553,1.6298983085363516,2.0648497099159946,-0.12819984231544218,54.805764655331934,GNSS_LOCKED
56,5.6000000000000005,0.19785677093225026,0.47378889962021126,10.504639227826576,0.08095439211194003,0.24799309551378054,-0.029384706486183743,-9.75,-36.69,-2.56,9.12242868507185,1,26.42284496353116,10.573756125604147,0.003674887891445577,1.7401265531997046,2.356073226122028,-0.12258147668346926,53.917966205641214,GNSS_LOCKED
57,5.7,-0.42575167647342005,0.14346186843709344,9.67874682757456,-0.1219799613561521,0.09864200449578396,0.0023924833552974273,-10.06,-36.75,-2.5,8.027294462364232,1,26.56900748495087,10.842252145536486,0.0025750171374769332,1.7351694766803167,2.708848128031318,-0.1496087472198942,52.88296814259538,GNSS_LOCKED
58,5.800000000000001,1.962546202056215,1.2879421426814421,9.87918064527114,-0.07104213077536642,0.04888663452213919,0.012400508860305947,-9.25,-35.75,-3.06,8.160177822344764,1,26.701021865105176,11.136543690921311,0.0029692287277835183,1.6379035260666646,3.0942802452564426,-0.19465945885783748,51.523762175214365,GNSS_LOCKED
59,5.9,-0.5430343220012444,0.6498320461149003,9.754750736793369,0.08905345908769673,0.1342974153102655,-0.02861827502659773,-8.69,-36.12,-1.37,8.222103278587866,1,26.815453466562786,11.448819089723617,0.0008838980821355528,1.3707799052412404,3.1779034603992184,-0.1608681587771132,51.42935311376137,GNSS_LOCKED
60,6.0,-1.3781249337689998,-0.5463884527359312,9.596499802305058,-0.1320271770292837,0.013325602221356928,0.05456503322748327,-8.75,-35.56,-1.31,8.080322884590721,1,26.904065860254985,11.763128383242028,-4.0274581038092505e-05,1.1013740103104686,3.1187922387525715,-0.13654922641217015,51.85987094819601,GNSS_LOCKED
61,6.1000000000000005,0.4623823595223227,-0.28397248758502536,9.90825607662102,0.05229127024433086,-0.0007903638462596493,0.010135994338242476,-7.56,-34.69,-2.25,6.829947306147493,1,26.972962870562903,12.081985696874728,0.0004391428814353171,0.9471503119082132,3.229088353085886,-0.1341416636554023,52.13368610212347,GNSS_LOCKED
62,6.2,0.7633146152046637,0.7727803568880801,9.979264338027273,0.01698541657232033,0.18620427084933067,0.023740158831268194,-7.5,-34.69,-2.56,5.6275348308849225,1,27.02521600591078,12.410342804891405,0.001163107088086271,0.7486814915216496,3.3712887032348307,-0.12001397457993809,51.818877619959906,GNSS_LOCKED
63,6.300000000000001,0.4809303730083823,-0.35546657598189757,9.546174626502372,-0.052736065007749355,0.028089601150771592,-0.06058045687091675,-6.81,-34.0,-1.94,6.796795417962064,1,27.065069754201776,12.746135825314408,0.002705175951521102,0.626079557007862,3.392473239264659,-0.1354293770286733,52.39041157452491,GNSS_LOCKED
64,6.4,0.033272110711589725,0.7869861113745855,10.186061770731234,0.009480513008468172,0.1299740689334609,-0.051515544042320026,-6.25,-34.06,-1.31,6.991274827000252,1,27.09399276014135,13.0893160501974,0.0018956151384594642,0.4565138113985838,3.4988846307073773,-0.09180768519459066,52.612564347023955,GNSS_LOCKED
65,6.5,-1.0532228688582732,0.12199504472999928,9.95324768040941,-0.10015506079099304,0.024542892749493995,-0.01288643524949102,-7.0,-33.81,-0.87,7.195345950884227,1,27.105954444992378,13.440932509300517,0.0020870237923266612,0.2495358562623049,3.52166814626454,-0.06613951246830967,52.86086181659918,GNSS_LOCKED
66,6.6000000000000005,0.46259103587312067,0.6779188912973091,9.94975296428771,0.06596280304451442,-0.024646067731420754,0.09243018965624175,-6.69,-34.19,-0.81,7.841463777459694,1,27.09766078945055,13.802646669011452,0.0038040842180348273,0.07432557170256171,3.6867344446133408,-0.06646858741746628,52.18370848595249,GNSS_LOCKED
67,6.7,-0.779250569830147,0.12038231984558896,9.817527974825841,0.09907247990364655,0.08058213265270787,0.03967182404280071,-6.87,-35.31,-0.56,8.996208298580115,1,27.07284779467787,14.186458760268437,0.004351939522553548,-0.14321731800761373,3.833154620893118,-0.06204208516018578,52.071260660246,GNSS_LOCKED
68,6.800000000000001,0.3172495971928042,-0.07011690464953113,11.070089817285286,0.06800953333888178,0.19670591876904478,0.022166977607546972,-7.31,-35.94,-0.75,9.295255634441922,1,27.023575327790105,14.580752345040416,0.004000992243059914,-0.32932869456204794,3.9660994859792775,0.01090519881168896,52.06285027556445,GNSS_LOCKED
69,6.9,-0.34257539422573385,-0.40366194180520465,9.008401116513914,0.009139687798113527,0.041820001096885405,-0.11601751426060429,-7.56,-36.37,-0.56,11.350392700884619,1,26.958941110043146,14.983512362722937,0.008727425459282328,-0.5269429596056274,4.014691709380187,-0.06658672961677249,52.97557976072131,GNSS_LOCKED
70,7.0,1.0152558121919177,0.6965163250338915,10.275364389877948,0.012313968239523,0.20298362047006635,-0.02297772850087818,-7.56,-36.87,-0.69,11.439907580314417,1,26.870379124835566,15.393994335217748,0.009711875538955063,-0.7437533075880474,4.181771510947123,-0.043434270982664364,52.958343015547364,GNSS_LOCKED
71,7.1000000000000005,2.6866686332275145,0.2621150988889392,9.71876240784627,0.26678070418180444,0.1261714554934014,-0.0005288619263978515,-7.69,-36.56,-0.5,11.003559783527503,1,26.760031781352456,15.824078155580285,0.013252799736351592,-0.888792978720585,4.408908125803571,-0.06927307116534806,52.30757515675289,GNSS_LOCKED
72,7.2,2.228400825393019,1.3502833149525233,10.297531930066958,0.10786357501827759,0.1556631030341791,-0.020173932141428028,-7.62,-37.44,-0.12,11.093577034989492,1,26.63035894134726,16.27215840542871,0.014852791991833359,-1.1335548237833468,4.611915766586073,-0.04071848470272876,51.56980412459939,GNSS_LOCKED
73,7.300000000000001,0.9231477436978295,0.10993638601860437,9.76424791698443,0.18849715087389426,0.15743351010894902,-0.09613518610373512,-7.19,-37.44,-0.25,11.10357089154446,1,26.48017688636529,16.74181350016537,0.01703611227467485,-1.3670811144923676,4.724320742509784,-0.05197823126444079,51.761673156730744,GNSS_LOCKED
74,7.4,2.3483938817693804,-0.5884923511327386,8.780357885002546,0.05436471039588597,0.11823962815724809,-0.08856431898234836,-7.06,-37.12,-0.12,11.500339610757079,1,26.31273458663543,17.228480693090336,0.020513951191990253,-1.4731401433219675,4.902106690807782,-0.12131628434068921,51.8552284256982,GNSS_LOCKED
75,7.5,-0.7806170110521973,0.6235670696022282,9.94126936018553,0.20904535879011335,0.1445694660032564,0.049347416019950546,-7.31,-36.19,-0.81,12.281990813982226,1,26.13367255512286,17.729200098937113,0.01811292240733369,-1.7642589408517018,4.992372761940143,-0.09093566356907949,51.66440169026832,GNSS_LOCKED
76,7.6000000000000005,1.4776136343872373,-1.0887207215585217,9.315830048789106,0.12398868423781392,0.038061679077023965,0.08313311474264219,-7.31,-36.12,-1.56,12.314439517967017,1,25.927658035314156,18.22469595221877,0.01924308741873579,-1.8874025577445348,4.941732589563883,-0.10807222960163383,51.67918931230363,GNSS_LOCKED
77,7.7,-1.218452611807238,0.4313767812292581,9.44327869785682,0.08241767895875811,0.29530601378116206,-0.10899630461502424,-7.44,-36.44,-1.87,12.927652409086592,1,25.706296504662287,18.736651000558073,0.017467342677735753,-2.21556622378576,5.063660637290366,-0.11674829294072708,52.828187968378025,GNSS_LOCKED
78,7.800000000000001,0.8354658267705265,-0.45408751590596247,10.426877994404508,-0.1385864461833646,-0.058326963281473,-0.06955984681284945,-7.5,-37.06,-1.75,12.219994060735477,1,25.460789634840573,19.264147738848298,0.013678356056741144,-2.341600388159812,5.24980036963932,-0.05587439186688656,53.44401543931143,GNSS_LOCKED
79,7.9,1.5703944851547393,0.4083477646205609,9.795861913794262,0.05880591421121496,0.08874117570485783,0.04335064230553884,-7.69,-36.94,-1.44,12.262772129799629,1,25.20162427336345,19.797292311847478,0.01383402962367959,-2.4914015607074256,5.379141867447926,-0.056052974464418176,53.176476600777924,GNSS_LOCKED
80,8.0,-1.3958819316838906,-2.1033803253753645,9.634552891007568,-0.2779331809741406,-0.21474117998656325,0.07165013978754012,-8.12,-37.44,-0.87,12.81506881757783,1,24.942035797158915,20.351647592514638,0.011771461725948559,-2.56344820455166,5.381489546423946,-0.06945542011482657,52.56573769953055,GNSS_LOCKED
81,8.1,1.3239759308910888,0.1398614295771715,9.833665538085873,0.011209401788222216,-0.1904780308496688,0.10507791906572389,-7.81,-37.87,-1.12,10.851854924244142,1,24.669245573320218,20.92108132250977,0.009716881258234559,-2.674193789901548,5.711374267830342,-0.0642585387017128,51.85013264246899,GNSS_LOCKED
82,8.200000000000001,-3.2036020710301583,0.49218131362885004,9.503494255536006,-0.27323704726721615,-0.321429483138534,0.21525920043052282,-7.19,-38.25,-1.44,10.027366382141423,1,24.386424208183815,21.499448321716834,0.008322705268218955,-2.9907962173514977,5.680707382148236,-0.11673449283098337,50.214847617751104,GNSS_LOCKED
83,8.3,4.164925277391665,-1.9515052589620694,10.305883575316933,-0.4073840748404355,-0.4436444256557639,0.06120072835326215,-7.31,-37.44,-0.06,10.313638452128458,1,24.065596155283263,22.065010470416244,0.005170208222744423,-3.013285363188186,5.705239884932025,-0.022429254559715006,49.516011832556735,GNSS_LOCKED
84,8.4,-3.19219654782728,-3.378059923880307,8.554897825264389,-0.28623323274048035,-0.2438190853415862,-0.10195906089272455,-6.31,-36.69,-0.25,9.969534249534577,1,23.74335631759819,22.65053101562954,0.006831192919620073,-3.3106985267927556,5.584916711530367,-0.14507885234079826,50.255298475319094,GNSS_LOCKED
85,8.5,4.644556997046996,0.9858553021692043,10.334558780826914,-0.37511360980480063,-0.5196536520942044,0.13939250914007964,-6.81,-36.56,1.06,10.193416414504172,1,23.39881539840657,23.228751670946796,0.001602964075265465,-3.412949682780233,5.955526791225281,-0.06207497926566312,48.21124962934868,GNSS_LOCKED
86,8.6,3.9838369993344944,-1.323959534680965,9.152726413657348,0.07422812682971329,-0.06992232143724898,0.10575705249380785,-7.06,-35.87,1.06,10.620378856609756,1,23.042948905735983,23.827488397132626,0.0007570366015195971,-3.5020791727147214,6.049975483005192,-0.05556501985243231,47.01484346231352,GNSS_LOCKED
