timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gnss_lat,gnss_lon,gnss_alt,gnss_speed,gnss_bearing,gnss_accuracy,engine_state,ml_speed,heading_deg,pos_e,pos_n,pos_u,nhc_enabled,vnhc_enabled,compass_accepted,map_accepted
1788938791491,0.5551,6.3523,7.3657,-0.38348,0.45912,0.09268,-17.51,-32.31,17.29,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.1,10.65,-32.86,24.94,-17.37,False,False,False,False
1788938791600,-0.4887,5.7511,7.675,0.30186,-0.40625,-0.08415,-18.04,-32.46,15.17,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.05,10.47,-34.99,26.23,-18.41,False,False,False,False
1788938791712,-0.4863,5.799,8.8385,-0.29507,0.1221,-0.08469,-17.31,-33.24,15.71,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.14,11.13,-37.17,27.42,-19.49,False,False,False,False
1788938791834,0.2201,5.3994,7.2676,0.03142,0.03582,-0.10759,-17.63,-33.58,16.88,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.17,11.78,-39.4,28.61,-20.58,False,False,False,False
1788938791951,-0.0772,6.1101,8.065,0.21185,-0.21451,0.1454,-16.91,-33.24,17.57,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.29,10.64,-41.82,30.01,-21.8,False,False,False,False
1788938792064,0.9212,6.6012,7.541,0.32263,-0.03395,0.03249,-16.93,-32.63,18.75,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.59,10.41,-44.31,31.36,-23.07,False,False,False,False
1788938792187,-0.2351,6.2973,6.5115,0.40359,0.41438,0.33542,-17.48,-32.08,21.11,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.15,9.04,-46.79,32.79,-24.34,False,False,False,False
1788938792315,0.7896,6.9194,6.3075,0.1719,-0.34447,0.4984,-19.93,-29.44,22.39,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.23,5.86,-49.11,34.03,-25.45,False,False,False,False
1788938792444,1.8215,7.5709,5.6207,0.17297,0.26205,0.02184,-21.19,-27.06,23.23,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.96,5.99,-51.7,35.43,-26.75,False,False,False,False
1788938792570,2.5065,7.8772,6.1232,-0.23116,-0.27097,-0.0261,-22.22,-26.23,24.0,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,11.92,5.88,-54.37,36.92,-28.16,False,False,False,False
1788938792734,-1.054,6.9745,6.0419,-0.16458,0.10719,-0.01917,-21.08,-27.53,22.26,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,12.46,6.1,-57.16,38.44,-29.62,False,False,False,False
1788938792864,0.6293,6.1316,6.6335,0.09094,-0.04727,-0.30838,-20.49,-29.03,21.36,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,13.2,7.78,-59.92,39.76,-31.0,False,False,False,False
1788938792982,0.39,6.6395,6.1759,-0.00373,-0.13409,0.13315,-19.88,-29.14,20.76,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,12.69,6.89,-62.87,41.29,-32.56,False,False,False,False
1788938793099,0.6317,7.118,6.4271,0.0261,-0.13515,0.01545,-20.14,-28.59,20.72,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,12.69,6.66,-65.89,42.82,-34.16,False,False,False,False
1788938793207,0.8566,6.9362,8.3737,-0.06445,-0.27523,0.29068,-19.76,-28.43,21.15,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,12.76,4.72,-68.93,44.35,-35.77,False,False,False,False
1788938793334,0.6461,7.0199,8.1344,0.02397,-0.00999,0.33648,-20.29,-28.37,20.96,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,13.28,2.82,-71.98,45.83,-37.3,False,False,False,False
1788938793462,1.5751,6.8668,5.604,0.22996,0.06351,0.11185,-21.28,-26.87,20.89,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,13.97,2.25,-75.18,47.38,-38.95,False,False,False,False
1788938793578,1.0439,6.4433,5.75,-0.33608,0.28602,-0.20399,-22.78,-26.21,21.15,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,13.94,3.7,-78.55,49.05,-40.75,False,False,False,False
1788938793693,0.7035,7.1946,5.6638,-0.09534,0.2711,-0.03995,-22.95,-27.81,21.23,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,13.73,4.25,-82.0,50.76,-42.59,False,False,False,False
1788938793810,0.7633,7.1324,7.3394,-0.16511,0.22689,-0.04101,-22.58,-28.14,20.48,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,13.13,4.76,-85.55,52.54,-44.5,False,False,False,False
1788938793919,-0.3834,6.4792,7.3968,-0.10013,0.18548,0.21571,-21.92,-28.41,19.56,0.0,0.0,0.0,0.0,0.0,999.0,DEAD_RECKONING,12.13,3.8,-88.95,54.19,-46.17,False,False,False,False
1788938794028,0.5001,6.8333,6.9733,0.18841,0.53528,0.57722,-22.31,-28.05,19.16,0.0,0.0,0.0,7.07,121.6,15.37,REACQUIRING,12.13,334.41,5.31,2.94,-5.44,False,False,False,False
1788938794138,2.4203,7.3053,5.1918,-0.00213,-0.18682,0.18908,-24.77,-25.73,18.98,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.9,335.11,3.66,1.52,-3.68,False,False,False,False
1788938794250,0.9906,6.1292,6.5426,-0.45698,-0.20759,-0.45472,-25.24,-25.59,19.44,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,18.86,338.12,3.07,0.82,-2.71,False,False,False,False
1788938794359,0.2847,6.2614,7.4518,-0.54047,-0.05579,-0.40306,-24.26,-27.69,18.58,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.92,339.79,2.89,0.35,-2.11,False,False,False,False
1788938794477,0.8423,6.0574,9.53,0.02716,-0.24167,-0.07936,-21.62,-29.51,18.68,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.56,340.82,2.9,-0.02,-1.69,False,False,False,False
1788938794592,-0.5198,6.1077,6.1974,0.18202,-0.04407,0.12676,-20.16,-30.62,18.99,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.57,339.88,3.0,-0.34,-1.42,False,False,False,False
1788938794702,0.5886,6.7639,6.6909,0.12769,0.15299,0.00799,-20.79,-30.3,19.37,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.79,338.88,3.14,-0.62,-1.23,False,False,False,False
1788938794812,0.2919,6.9171,6.6526,0.26937,0.12157,0.15073,-20.42,-29.91,20.08,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.37,337.45,3.31,-0.88,-1.1,False,False,False,False
1788938794923,1.2592,6.3332,7.1025,-0.06338,-0.0707,-0.00905,-21.43,-29.48,22.56,0.0,0.0,0.0,7.07,121.6,15.37,GNSS_LOCKED,14.3,337.75,3.52,-1.12,-0.99,False,False,False,False
1788938795042,1.4674,7.4704,8.4861,-0.25299,0.49587,-0.34247,-22.28,-28.14,21.28,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,14.58,340.83,4.12,-1.93,-0.01,False,False,False,False
1788938795208,-0.9769,6.0526,6.6622,0.01491,-0.16445,-0.07563,-21.62,-29.68,19.03,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,14.51,342.06,4.73,-2.68,0.85,False,False,False,False
1788938795335,1.1396,6.8118,5.9151,0.36524,-0.23528,-0.04314,-20.44,-29.14,20.23,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,13.91,343.49,5.3,-3.34,1.58,False,False,False,False
1788938795461,0.7011,6.8189,6.1328,-0.01278,-0.01105,-0.11931,-20.14,-29.61,21.84,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,14.51,344.02,5.85,-3.93,2.2,False,False,False,False
1788938795584,1.0122,6.7017,7.0666,0.0213,-0.13941,-0.03675,-19.5,-29.74,22.58,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,14.17,344.75,6.37,-4.47,2.74,False,False,False,False
1788938795691,1.587,6.9123,6.4271,0.10692,-0.16391,-0.01917,-19.73,-29.46,23.53,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,14.05,345.63,6.88,-4.96,3.21,False,False,False,False
1788938795820,1.185,7.0774,7.282,-0.196,0.10825,-0.13795,-19.8,-29.49,24.75,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,14.4,345.64,7.36,-5.42,3.62,False,False,False,False
1788938795943,-0.4959,6.6778,5.884,0.05433,0.10985,-0.17683,-18.83,-30.21,23.31,0.0,0.0,0.0,8.07,119.4,9.85,GNSS_LOCKED,13.92,345.6,7.83,-5.85,3.99,False,False,False,False
1788938796049,-0.3882,6.7735,4.6654,0.25606,0.29773,0.06445,-18.51,-30.38,22.91,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,13.03,343.78,8.67,-6.44,4.36,False,False,False,False
1788938796158,1.6588,7.59,6.9805,-0.5671,0.46071,0.21944,-19.5,-30.26,22.97,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,13.87,341.16,9.47,-6.99,4.7,False,False,False,False
1788938796272,1.6445,6.9147,8.077,-0.10865,-0.31944,0.16511,-20.1,-30.56,22.95,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,13.6,342.11,10.24,-7.49,5.01,False,False,False,False
1788938796384,1.4961,6.055,6.7005,-0.22796,-0.26298,-0.05806,-19.05,-30.54,22.41,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,13.63,343.57,10.97,-7.97,5.29,False,False,False,False
1788938796499,1.678,6.1364,7.0068,-0.01917,-0.24221,0.15552,-18.3,-31.29,22.78,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,14.05,344.01,11.67,-8.42,5.55,False,False,False,False
1788938796613,1.264,6.2542,6.868,0.01385,-0.0217,-0.11664,-18.49,-31.74,22.93,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,19.04,344.57,12.34,-8.85,5.79,False,False,False,False
1788938796729,1.5248,6.5366,7.3801,0.33169,-0.15006,-0.10226,-17.4,-32.06,23.94,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,19.04,345.57,12.98,-9.26,6.0,False,False,False,False
1788938796843,1.0965,6.8931,5.6136,0.37856,-0.34926,-0.04367,-17.12,-31.09,24.58,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,19.04,347.21,13.61,-9.66,6.2,False,False,False,False
1788938796955,1.0289,7.118,7.5864,-0.31265,-0.0478,-0.08096,-16.03,-31.29,25.54,0.0,0.0,0.0,8.27,118.2,11.46,GNSS_LOCKED,19.04,347.58,14.2,-10.04,6.38,False,False,False,False
1788938797081,1.2927,6.8572,6.195,0.04527,-0.05899,-0.16138,-16.05,-31.43,26.27,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,19.04,345.85,14.91,-10.27,6.63,False,False,False,False
1788938797212,1.922,6.9769,7.2652,0.01332,-0.16125,-0.09747,-15.84,-31.11,26.68,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,14.27,345.57,15.54,-10.45,6.85,False,False,False,False
1788938797340,1.9053,6.5222,5.9533,-0.03089,-0.11811,0.04208,-15.34,-30.9,26.93,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,13.26,345.51,16.15,-10.62,7.06,False,False,False,False
1788938797466,2.1667,7.4967,6.8177,-0.19068,0.04541,-0.10812,-15.54,-32.1,26.46,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,13.33,345.78,16.73,-10.79,7.25,False,False,False,False
1788938797595,0.8734,6.6012,5.8313,-0.00692,0.0241,-0.1747,-15.32,-31.88,26.93,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,13.18,346.43,17.28,-10.95,7.43,False,False,False,False
1788938797724,1.5009,7.008,5.884,-0.08202,-0.0233,-0.0229,-14.36,-32.27,27.38,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,10.6,346.64,17.82,-11.11,7.59,False,False,False,False
1788938797852,1.4339,7.142,6.9685,-0.03355,-0.00573,-0.08841,-14.38,-33.0,26.72,0.0,0.0,0.0,6.7,115.5,4.63,GNSS_LOCKED,10.7,347.07,18.35,-11.27,7.74,False,False,False,False
1788938797979,2.0321,7.1515,7.4973,-0.04261,-0.08881,-0.04634,-13.76,-32.51,26.78,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,10.76,354.77,19.21,-11.81,8.02,False,False,False,False
1788938798097,0.5623,6.2034,5.6088,-0.01278,0.03742,-0.08628,-14.06,-33.13,27.19,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,12.67,356.54,20.08,-12.41,8.28,False,False,False,False
1788938798225,1.4076,6.5055,6.2405,0.14314,-0.07443,-0.03515,-13.67,-33.73,28.48,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,11.93,357.67,20.95,-13.02,8.53,False,False,False,False
1788938798352,1.8048,8.0542,7.0211,-0.01118,-0.10373,-0.05326,-13.54,-34.18,28.97,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,11.09,358.44,21.8,-13.63,8.76,False,False,False,False
1788938798483,1.1587,6.122,6.4534,0.03089,-0.23422,-0.06658,-13.67,-33.99,28.43,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,10.88,359.47,22.62,-14.23,8.98,False,False,False,False
1788938798612,1.7019,6.941,5.0698,0.09254,0.0012,-0.04794,-13.74,-35.16,27.51,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,9.28,359.55,23.43,-14.81,9.2,False,False,False,False
1788938798737,1.6708,7.614,7.7611,-0.19547,0.05446,0.02077,-13.8,-36.28,27.69,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,11.63,358.74,24.22,-15.38,9.39,False,False,False,False
1788938798867,0.5862,6.189,5.1009,0.02823,0.09441,-0.13315,-13.95,-37.22,24.94,0.0,0.0,0.0,9.92,125.4,4.42,GNSS_LOCKED,9.44,358.62,24.99,-15.93,9.59,False,False,False,False
1788938798994,1.9268,6.7496,7.1073,0.05859,0.06458,-0.06551,-13.58,-36.23,26.98,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,9.48,356.84,25.89,-16.59,9.79,False,False,False,False
1788938799119,1.2951,7.2616,7.1169,-0.00692,0.0257,0.01332,-13.73,-36.09,28.01,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,9.44,355.93,26.76,-17.21,9.98,False,False,False,False
1788938799244,-0.0389,6.9553,5.6495,0.02077,0.26365,-0.25885,-12.54,-35.79,28.5,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,18.68,355.88,27.6,-17.82,10.16,False,False,False,False
1788938799367,0.6485,7.5494,6.2524,-0.07244,0.17803,0.08256,-12.08,-35.34,28.24,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,18.72,354.82,28.41,-18.41,10.34,False,False,False,False
1788938799491,0.8495,6.6371,7.6582,-0.19334,0.09973,-0.26631,-11.89,-36.02,28.03,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,18.8,355.23,29.2,-18.99,10.5,False,False,False,False
1788938799623,0.1986,6.4863,6.1591,-0.11824,0.13595,-0.19014,-12.11,-36.34,27.53,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,19.04,355.33,29.97,-19.55,10.66,False,False,False,False
1788938799743,-0.2183,5.7081,8.2636,-0.1257,-0.22729,-0.06338,-10.74,-37.52,26.31,0.0,0.0,0.0,9.13,126.4,3.92,GNSS_LOCKED,19.1,356.13,30.72,-20.1,10.82,False,False,False,False
